date,Bitcoin_unscaled,Bitcoin_monthly,isPartial,scale,Bitcoin
2021-08-18,61,21.0,,0.21,12.809999999999999
2021-08-19,67,21.0,,0.21,14.07
2021-08-20,70,21.0,,0.21,14.7
2021-08-21,69,21.0,,0.21,14.49
2021-08-22,65,21.0,,0.21,13.65
2021-08-23,86,21.0,,0.21,18.06
2021-08-24,69,21.0,,0.21,14.49
2021-08-25,71,21.0,,0.21,14.91
2021-08-26,65,21.0,,0.21,13.65
2021-08-27,64,21.0,,0.21,13.44
2021-08-28,59,21.0,,0.21,12.389999999999999
2021-08-29,54,21.0,,0.21,11.34
2021-08-30,49,21.0,,0.21,10.29
2021-08-31,59,21.0,,0.21,12.389999999999999
2021-09-01,44,22.0,True,0.22,9.68
2021-09-02,49,22.0,,0.22,10.78
2021-09-03,54,22.0,,0.22,11.88
2021-09-04,46,22.0,,0.22,10.12
2021-09-05,46,22.0,,0.22,10.12
2021-09-06,50,22.0,,0.22,11.0
2021-09-07,100,22.0,,0.22,22.0
2021-09-08,80,22.0,,0.22,17.6
2021-09-09,63,22.0,,0.22,13.86
2021-09-10,55,22.0,,0.22,12.1
2021-09-11,48,22.0,,0.22,10.56
2021-09-12,45,22.0,,0.22,9.9
2021-09-13,51,22.0,,0.22,11.22
2021-09-14,48,22.0,,0.22,10.56
2021-09-15,49,22.0,,0.22,10.78
